plan_amount_inr,tenure_days,risk_tier,collateral_type,locked_token,price_inr,stress_drop_pct,fees_buffer_pct,outstanding_debt_inr,required_collateral_inr
148413.7781712086,30,MEDIUM,volatile,17.168588857906013,18151.489831899864,0.2,0.028907940316542743,111048.20828921843,285645.9581667553
199165.4866687448,60,LOW,volatile,6.849554769077408,19086.41907740774,0.2,0.04893407058690506,149561.04746821226,280142.2827179879
9154.484442793988,120,HIGH,stable,339.2035041017221,77.76037068005314,0.02,0.02892695105913844,7386.401431415972,25850.569741924122
49738.96749762534,90,MEDIUM,stable,1389.4123101089622,74.04888095949092,0.02,0.037512341848431476,48162.47098631665,101977.87359636843
119950.40892832933,30,LOW,stable,1984.4997894321996,75.49589579769177,0.02,0.04631468529488269,101313.38096018857,154527.2278651899
83623.69621172748,180,HIGH,stable,1293.9111362968008,79.80563113786377,0.02,0.05844432762534105,83694.64132472912,301313.3277646156
127873.68510278194,30,MEDIUM,volatile,8.112293345907865,33011.67161531091,0.2,0.0224153228914763,131991.67898624367,337375.78772427095
117694.46229461835,30,MEDIUM,volatile,2.6938327993790447,44236.514104035334,0.2,0.028865145867694782,85492.91047062233,219901.6895050265
157809.90411200238,60,LOW,stable,1564.5971997028498,89.78294173634039,0.02,0.028884483857485023,149728.14428714747,224567.00357699825
15109.681108008444,30,MEDIUM,stable,105.54693958235282,76.22183530684106,0.02,0.05534337498107719,11027.695901022867,23751.032266225437
88682.59791576123,90,LOW,volatile,2.9310297437202264,44069.698933655316,0.2,0.04204467536138605,64304.18242563474,119656.84089303555
172150.70414827028,90,HIGH,volatile,6.18815483621922,42562.887695590405,0.2,0.05003540744494589,137121.3476968845,599926.1258262425
73189.61916404536,180,MEDIUM,stable,1497.4285820644914,74.10400537791642,0.02,0.03836935321676234,53835.42180578644,114083.77983801236
101253.97224877884,30,HIGH,stable,912.1407882056337,92.94327546705013,0.02,0.03891906824351986,94372.76633476281,333488.6614560381
5294.146632433021,60,LOW,volatile,0.23457412470424036,37045.287239343284,0.2,0.05894987925417165,5032.837335042976,9517.00444330294
45610.60512177541,120,LOW,stable,627.3252973804132,92.17975036226359,0.02,0.02659607986106781,42132.45418685618,63051.03834278804
93267.36919488697,120,MEDIUM,volatile,5.933026448741679,15956.98929816968,0.2,0.035892517486516076,84068.86592825482,217715.7729216407
80394.65712660439,60,LOW,volatile,6.538745706182862,16092.81242243837,0.2,0.059478598977329,78258.86743367962,148059.99147533465
143216.32050511843,180,HIGH,stable,2782.164388561794,81.91953765708764,0.02,0.030422182796374694,138977.46732656733,487093.4191909978
122764.11633671734,180,MEDIUM,volatile,5.616271071713284,21908.36769707722,0.2,0.024438941471879163,123327.55556565808,315853.8761949928
176176.22191073524,120,MEDIUM,stable,2786.9582296728836,94.91454794305403,0.02,0.031853334494106364,166066.97149934433,349707.6699815024
171099.36963778283,120,LOW,stable,1971.750470821918,93.70192560034077,0.02,0.053434961090808974,141081.01651741748,216646.75677212456
49002.7483124956,90,HIGH,stable,1796.0495976276181,73.12043058382977,0.02,0.059822126894248165,43300.69977414103,156091.97187292328
4510.107077740326,90,HIGH,volatile,0.4053839494374798,40308.8435068987,0.2,0.0449249735218315,3931.5054778596173,17117.201072305816
171039.6831710487,90,MEDIUM,stable,2432.210709709003,94.65490111342889,0.02,0.059584516564131884,126185.10770455962,272864.8700912831
66495.05195690156,180,LOW,stable,636.953962256579,83.71126900280387,0.02,0.027121828908929065,65438.45106934976,97978.5153692682
70074.8321388794,30,MEDIUM,volatile,4.617041726146643,43716.81137617974,0.2,0.04516520590500211,71441.21074731373,186669.66935204697
32520.56484149635,30,LOW,stable,731.7409434003856,74.88396538570757,0.02,0.04370257249831938,33969.13199567593,51681.73534901158
138908.4459632993,90,LOW,volatile,5.330813146163716,22773.924268437637,0.2,0.02525982039181538,109291.59298850197,200093.35535308378
56741.67475379816,90,MEDIUM,volatile,2.6237878164249127,44492.0822102884,0.2,0.04463577172084419,41618.54701512555,108690.55744761477
36171.87711138649,30,MEDIUM,volatile,2.664963160927929,28325.760594816613,0.2,0.04145583958325384,26726.121253321988,69585.18762170573
101174.75747125407,120,HIGH,volatile,23.243248715638043,16250.395385699647,0.2,0.050252920384725785,99303.4231542334,434557.1257163909
150332.76527836706,30,LOW,volatile,7.481454223172415,32262.11119164546,0.2,0.05321990099444028,138472.95174928967,260432.97952106214
54650.12090746869,60,LOW,stable,329.9966357765961,72.53790831216592,0.02,0.02896260623171792,52717.804689560035,79073.83339385477
144685.7611967813,90,MEDIUM,volatile,4.09841176408748,40748.84031512962,0.2,0.02440048279870051,147119.19357271894,376772.43231212185
92933.0468245432,30,LOW,volatile,1.6515289268658058,25670.193113246387,0.2,0.05697469945788623,72412.89484829415,136676.06744491291
81350.77192458126,120,LOW,volatile,1.1219020983727832,37999.01463504032,0.2,0.04962645538760716,67312.05780135513,126165.20827657518
72544.65275909766,90,MEDIUM,volatile,4.272751947198957,38601.754634504694,0.2,0.03449451627708428,70900.05706083264,183364.3005829093
29970.61209857251,90,LOW,volatile,1.055290327945527,16048.512419168204,0.2,0.041466815529584755,23700.37533983404,44077.06148577296
67194.11960299627,90,MEDIUM,volatile,2.381163029989523,35194.28335788423,0.2,0.052895845872387603,58936.923173946445,155136.10394587065
175971.0545948689,120,LOW,stable,1465.2999301094083,91.10618648198133,0.02,0.026506900371713736,150491.8071422977,225190.78495769354
21331.217969939673,120,HIGH,volatile,1.0221201857102387,21072.83364755349,0.2,0.02005210958411658,19376.357028941293,82353.72443094413
191701.70300525875,120,MEDIUM,volatile,18.513721501312933,27506.836893127438,0.2,0.041856480931706797,200495.25266094276,522218.19595210813
22391.808970075763,60,LOW,volatile,0.7114669467705417,40716.54148281347,0.2,0.023727082860080243,16487.09459316992,30139.795094114368
73044.2968175714,120,HIGH,stable,666.3011197344631,74.56300992476307,0.02,0.058487069748768286,63521.13451126224,228694.89638075963
